pacote;versao;licenca;categoria;origem_da_informacao;url_da_fonte;embarca_binario;arquivos_no_pacote;bytes_no_pacote
python3-typing-extensions;4.16.0-1;PSF License;permissiva;repo-oficial (arquivo LICENSE de python/typing_extensions);https://github.com/python/typing_extensions/blob/main/LICENSE;NAO;8;183103
python3-typing-inspection;0.4.2-1;MIT;permissiva;arquivo na arvore - texto de apps/Python312/Lib/site-packages/typing_inspection-0.4.2.dist-info/licenses/LICENSE;https://github.com/pydantic/typing-inspection;NAO;12;54088
python3-tzdata;2026.2-1;Apache-2.0;permissiva;arquivo na arvore - dist-info METADATA (campo License:) - apps/Python312/Lib/site-packages/tzdata-2026.2.dist-info/METADATA;https://github.com/python/tzdata;NAO;636;588433
python3-urllib3;2.7.0-1;MIT;permissiva;arquivo na arvore - texto de apps/Python312/Lib/site-packages/urllib3-2.7.0.dist-info/licenses/LICENSE.txt;;NAO;45;434623
python3-wxpython;4.2.5-1;OSI Approved;permissiva;arquivo na arvore - dist-info METADATA (Classifier) - apps/Python312/Lib/site-packages/wxpython-4.2.5.dist-info/METADATA;https://wxPython.org/;SIM;467;37031260
python3-xlrd;2.0.2-1;BSD;permissiva;arquivo na arvore - dist-info METADATA (campo License:) - apps/Python312/Lib/site-packages/xlrd-2.0.2.dist-info/METADATA;http://www.python-excel.org/;NAO;20;384650
python3-xlwt;1.3.0-2;BSD;permissiva;arquivo na arvore - dist-info METADATA (campo License:) - apps/Python312/Lib/site-packages/xlwt-1.3.0.dist-info/METADATA;http://www.python-excel.org/;NAO;27;413526
qca;2.3.8-2;LGPL-2.1;copyleft-fraco;repo-oficial (GitHub License API, KDE/qca);https://github.com/KDE/qca;SIM;10;3176151
qgis-ltr;3.44.13-1;GPL-2.0-or-later;copyleft-forte;repo-oficial (GitHub License API, qgis/QGIS);https://github.com/qgis/QGIS/blob/master/COPYING;SIM;171;184972950
qgis-ltr-common;3.44.13-1;GPL-2.0-or-later;copyleft-forte;repo-oficial (GitHub License API, qgis/QGIS);https://github.com/qgis/QGIS/blob/master/COPYING;SIM;6842;154967903
qgis-ltr-full;3.44.13-1;GPL-2.0-or-later;copyleft-forte;repo-oficial (GitHub License API, qgis/QGIS) - metapacote VAZIO na arvore;https://github.com/qgis/QGIS/blob/master/COPYING;NAO;1;0
qgis-ltr-full-free;3.44.13-1;GPL-2.0-or-later;copyleft-forte;repo-oficial (GitHub License API, qgis/QGIS) - metapacote VAZIO na arvore;https://github.com/qgis/QGIS/blob/master/COPYING;NAO;1;0
qgis-ltr-grass-plugin;3.44.13-1;GPL-2.0-or-later;copyleft-forte;repo-oficial (GitHub License API, qgis/QGIS);https://github.com/qgis/QGIS/blob/master/COPYING;SIM;1077;3384693
qgis-ltr-oracle-provider;3.44.13-1;GPL-2.0-or-later;copyleft-forte;repo-oficial (GitHub License API, qgis/QGIS) - LIGA em OCI.dll proprietaria;https://github.com/qgis/QGIS/blob/master/COPYING;SIM;2;920576
qscintilla;2.14.1-2;GPL-3.0 OU licenca comercial (Riverbank);copyleft-forte;site-oficial do detentor (Riverbank Computing);https://www.riverbankcomputing.com/software/qscintilla/;SIM;1;2131456
qt5-libs;5.15.13-2;LGPL-3.0 (edicao open source - partes so sob GPL-3.0);copyleft-fraco;site-oficial do detentor (The Qt Company);https://www.qt.io/licensing/open-source-lgpl-obligations;SIM;466;241809317
qt5-qml;5.15.13-2;LGPL-3.0 (edicao open source - partes so sob GPL-3.0);copyleft-fraco;site-oficial do detentor (The Qt Company);https://www.qt.io/licensing/open-source-lgpl-obligations;SIM;1371;319415792
qt5-tools;5.15.13-2;LGPL-3.0 / GPL-3.0 conforme a ferramenta (edicao open source);copyleft-fraco;site-oficial do detentor (The Qt Company);https://www.qt.io/licensing/open-source-lgpl-obligations;SIM;69;7254373
qtkeychain-libs;0.14.2-1;BSD-2-Clause (texto proprio no COPYING);permissiva;repo-oficial (arquivo COPYING de frankosterfeld/qtkeychain);https://github.com/frankosterfeld/qtkeychain/blob/master/COPYING;SIM;8;58243
qtwebkit-libs;5.212.0-alpha4-9;DESCONHECIDA;DESCONHECIDA;NAO ENCONTRADO - nao consultada nesta fatia - o recipe OSGeo4W nomeia o fonte upstream;https://github.com/$P/$P/releases/download/$P-$V/$P-$V.tar.xz;SIM;14;49492841
qwt-libs;6.3.0-2;Qwt License 1.0 (LGPL-2.1 com tres excecoes);copyleft-fraco;site-oficial;https://qwt.sourceforge.io/qwtlicense.html;SIM;1;1214464
saga;9.12.4-1;DESCONHECIDA;DESCONHECIDA;NAO ENCONTRADO - nao consultada nesta fatia - o recipe OSGeo4W nomeia o fonte upstream;https://sourceforge.net/projects/$p-gis/files/${p^^}%20-%20$M/${p^^}%20-%20$V/$p-${V}_src.zip/download;SIM;399;46837517
setup;1.1.2-17;DESCONHECIDA;DESCONHECIDA;NAO ENCONTRADO - sem arquivo de licenca na arvore e sem fonte consultada;;SIM;8;1033308
sqlite3;3.53.4-1;Dominio publico (nao ha licenca - dedicacao ao dominio publico);permissiva;site-oficial;https://www.sqlite.org/copyright.html;SIM;3;2629120
szip;99-1;BSD-2-Clause (fornecido pelo libaec);permissiva;repo-oficial (GitHub License API do libaec) - metapacote VAZIO na arvore;https://github.com/MathisRosenhauer/libaec;NAO;1;0
thrift;0.24.0-1;Apache-2.0;permissiva;repo-oficial (GitHub License API, apache/thrift);https://github.com/apache/thrift;SIM;2;1474048
wxwidgets;3.2.9-1;wxWindows Library Licence 3.1 (LGPL-2 com excecao para binarios);copyleft-fraco;site-oficial;https://www.wxwidgets.org/about/licence/;SIM;16;23379968
xerces-c;3.2.5-1;Apache-2.0;permissiva;repo-oficial (GitHub License API, apache/xerces-c);https://github.com/apache/xerces-c;SIM;1;2791936
xz;5.4.7-1;MULTIPLA (0BSD para a liblzma - outras partes com licencas distintas);permissiva;repo-oficial (arquivo COPYING de tukaani-project/xz);https://github.com/tukaani-project/xz/blob/master/COPYING;SIM;2;185344
zlib;1.3.2-3;Zlib License;permissiva;repo-oficial (arquivo LICENSE de madler/zlib);https://github.com/madler/zlib/blob/develop/LICENSE;SIM;1;90624
zstd;1.5.7-1;BSD-3-Clause + GPL-2.0 (duplo, ver arquivo);permissiva;repo-oficial (arquivo LICENSE de facebook/zstd);https://github.com/facebook/zstd/blob/dev/LICENSE;SIM;1;659968
